record_id,visit_date,month,season,region,state,city,attraction,origin_country,party_type,party_size,accommodation,purpose,stay_nights,avg_spend_usd_per_person,satisfaction_rating_1_5
1,2020-05-10,5,Spring,West,CA,San Francisco,Golden Gate / Alcatraz,United States,Family,2,Hotel,Leisure,2,243.4,4.3
2,2020-08-13,8,Summer,Northeast,NY,New York City,Statue of Liberty / Times Square,United States,Couple,2,Resort,Leisure,2,210.66,4.6
3,2022-03-09,3,Spring,South,FL,Miami,South Beach / Art Deco,United States,Family,1,Camping,Event/Conference,2,161.42,5.0
4,2024-12-31,12,Winter,South,FL,Orlando,Walt Disney World / Universal Studios,Canada,Solo,1,Vacation Rental,Leisure,2,172.07,4.9
5,2020-09-22,9,Autumn,West,CA,San Francisco,Golden Gate / Alcatraz,United States,Group,1,Hotel,Leisure,2,203.51,4.8
6,2019-01-15,1,Winter,West,NV,Las Vegas,The Strip / Casinos / Shows,United States,Couple,1,Hotel,Leisure,1,231.82,3.7
7,2019-01-14,1,Winter,West,CA,Los Angeles,Hollywood / Beaches,United States,Couple,1,Vacation Rental,Leisure,1,151.92,3.5
8,2023-03-11,3,Spring,Northeast,MA,Boston,Freedom Trail / Harvard,United States,Family,4,Hotel,Leisure,2,217.9,4.1
9,2020-10-17,10,Autumn,West,WY,Yellowstone,Yellowstone National Park,United States,Group,1,Vacation Rental,Leisure,1,146.3,4.9
10,2020-11-17,11,Autumn,West,WA,Seattle,Pike Place / Space Needle,United States,Couple,2,Hotel,Visiting Friends/Family,2,132.53,3.6
11,2021-12-05,12,Winter,South,FL,Orlando,Walt Disney World / Universal Studios,United States,Solo,1,Hotel,Event/Conference,3,179.17,3.2
12,2019-11-30,11,Autumn,West,NV,Las Vegas,The Strip / Casinos / Shows,United States,Couple,1,Hotel,Visiting Friends/Family,1,216.99,4.2
13,2020-04-15,4,Spring,West,NV,Las Vegas,The Strip / Casinos / Shows,United States,Couple,2,Friends/Family,Leisure,4,179.18,4.7
14,2021-10-01,10,Autumn,South,FL,Orlando,Walt Disney World / Universal Studios,United States,Solo,1,Resort,Leisure,2,163.95,4.5
15,2024-07-21,7,Summer,Northeast,DC,Washington DC,National Mall / Museums,Other,Couple,4,Hotel,Leisure,9,216.93,4.1
16,2023-04-04,4,Spring,Northeast,NY,Niagara Falls,Niagara Falls,United States,Couple,2,Hotel,Leisure,2,98.8,4.9
17,2020-08-12,8,Summer,South,FL,Miami,South Beach / Art Deco,United States,Couple,2,Vacation Rental,Leisure,4,144.26,4.8
18,2018-01-17,1,Winter,Northeast,NY,New York City,Statue of Liberty / Times Square,Other,Couple,4,Hotel,Leisure,2,211.91,3.7
19,2023-08-28,8,Summer,West,WY,Yellowstone,Yellowstone National Park,United States,Group,2,Resort,Education/Research,3,165.2,4.8
20,2022-02-09,2,Winter,West,CA,San Francisco,Golden Gate / Alcatraz,United States,Couple,2,Hotel,Leisure,1,198.03,4.1
21,2021-03-12,3,Spring,West,WA,Seattle,Pike Place / Space Needle,United States,Solo,1,Hotel,Leisure,2,155.34,4.0
22,2022-05-15,5,Spring,South,FL,Miami,South Beach / Art Deco,United States,Family,1,Hotel,Leisure,5,158.57,4.7
23,2023-05-29,5,Spring,West,AZ,Grand Canyon,Grand Canyon National Park,United States,Solo,1,Hotel,Leisure,2,110.42,4.1
24,2020-06-15,6,Summer,South,FL,Orlando,Walt Disney World / Universal Studios,Other,Family,3,Hotel,Business,0,169.32,5.0
25,2024-10-15,10,Autumn,Northeast,NY,New York City,Statue of Liberty / Times Square,Canada,Couple,2,Camping,Visiting Friends/Family,1,250.11,4.7
26,2019-05-31,5,Spring,South,FL,Miami,South Beach / Art Deco,United States,Group,6,Vacation Rental,Business,4,164.11,3.4
27,2020-01-24,1,Winter,Northeast,NY,New York City,Statue of Liberty / Times Square,United States,Solo,2,Vacation Rental,Leisure,3,300.8,4.6
28,2023-03-08,3,Spring,West,NV,Las Vegas,The Strip / Casinos / Shows,United Kingdom,Family,3,Hotel,Event/Conference,4,200.61,4.8
29,2021-09-27,9,Autumn,West,CA,Los Angeles,Hollywood / Beaches,United States,Solo,1,Friends/Family,Business,5,220.6,3.7
30,2022-02-01,2,Winter,South,FL,Miami,South Beach / Art Deco,United Kingdom,Family,1,Hotel,Leisure,4,209.61,3.9
31,2022-03-23,3,Spring,Midwest,IL,Chicago,Millennium Park / Navy Pier,United States,Solo,2,Hotel,Leisure,6,191.81,5.0
32,2024-01-24,1,Winter,West,CA,San Francisco,Golden Gate / Alcatraz,United States,Group,1,Hotel,Leisure,1,303.09,4.7
33,2018-07-09,7,Summer,Midwest,IL,Chicago,Millennium Park / Navy Pier,United States,Couple,1,Hotel,Leisure,4,242.18,3.6
34,2023-09-26,9,Autumn,Northeast,NY,New York City,Statue of Liberty / Times Square,United States,Family,4,Hotel,Event/Conference,4,117.26,3.9
35,2025-08-11,8,Summer,Midwest,IL,Chicago,Millennium Park / Navy Pier,United States,Couple,1,Hotel,Leisure,2,284.23,3.2
